,,cut_cost,cut_cost,cut_cost,cut_cost,heuristic_time,heuristic_time,heuristic_time,heuristic_time,workload_id
,,mean,std,min,max,mean,std,min,max,count
model,num_qubits,,,,,,,,,
MBQC,982,1.8,3.0332,0,7,0.1874,0.0588,0.1414,0.2895,5
MBQC,992,7.6,10.5024,0,21,0.2365,0.1384,0.1311,0.4176,5
QCA,2,10.8,3.8987,6,16,0.0001,0.0,0.0001,0.0002,5
QCA,12,52.6,28.8756,30,100,0.0027,0.0021,0.0009,0.0064,5
QCA,22,94.8,31.4913,73,150,0.0039,0.0016,0.0027,0.0068,5
QCA,32,154.4,27.1901,113,184,0.0097,0.002,0.0069,0.0117,5
QCA,42,230.6,50.2325,150,269,0.0265,0.0171,0.0084,0.0533,5
QCA,52,189.0,89.5768,91,324,0.0207,0.0134,0.0087,0.0424,5
QCA,62,223.4,82.4275,153,362,0.02,0.0088,0.0089,0.0335,5
QCA,72,287.0,65.681,212,373,0.0408,0.016,0.0187,0.0543,5
QCA,82,383.6,124.1503,281,554,0.0496,0.0221,0.0314,0.0784,5
QCA,92,296.2,116.0698,176,478,0.0377,0.0245,0.0152,0.0794,5
QCA,102,288.4,160.9839,162,565,0.0434,0.0506,0.0144,0.1331,5
QCA,112,448.0,201.9963,200,729,0.066,0.0462,0.0125,0.1318,5
QCA,122,350.2,107.1434,209,496,0.0343,0.0166,0.017,0.0604,5
QCA,132,503.8,162.1965,336,737,0.0956,0.0602,0.0301,0.179,5
QCA,142,454.2,163.2229,329,717,0.0674,0.0499,0.0318,0.1506,5
QCA,152,412.2,105.5921,291,546,0.0584,0.0367,0.0274,0.1086,5
QCA,162,766.8,295.6902,282,983,0.1748,0.1003,0.0259,0.2643,5
QCA,172,812.4,213.4732,509,1013,0.1897,0.0928,0.0693,0.2886,5
QCA,182,808.4,247.2282,431,1057,0.2187,0.13,0.0543,0.3564,5
QCA,192,811.0,282.9108,340,1097,0.2154,0.1274,0.0346,0.3875,5
QCA,202,771.0,263.7148,371,1110,0.1919,0.1175,0.0274,0.3577,5
QCA,212,699.2,201.9423,547,1031,0.1399,0.0592,0.0908,0.242,5
QCA,222,691.2,315.7368,399,1182,0.1476,0.1495,0.0335,0.405,5
QCA,232,825.6,256.656,423,1094,0.2272,0.1206,0.0493,0.3442,5
QCA,242,1136.8,424.6101,655,1477,0.4132,0.2592,0.1259,0.6802,5
QCA,252,1091.6,437.3406,438,1472,0.3951,0.2583,0.052,0.61,5
QCA,262,1099.0,534.5615,465,1507,0.3954,0.2885,0.0612,0.6515,5
QCA,272,1411.0,106.7263,1323,1592,0.6004,0.0476,0.5426,0.6685,5
QCA,282,911.2,258.3645,671,1273,0.2191,0.1543,0.0892,0.4112,5
QCA,292,1209.6,324.9758,710,1503,0.4452,0.1933,0.1285,0.6121,5
QCA,302,1022.2,495.558,511,1542,0.3488,0.2937,0.0709,0.6836,5
QCA,312,1272.4,172.8274,1072,1506,0.4452,0.0675,0.3392,0.5064,5
QCA,322,1140.2,498.0052,539,1656,0.4591,0.3345,0.0842,0.7875,5
QCA,332,1364.4,325.4847,963,1780,0.5565,0.235,0.2557,0.8403,5
QCA,342,1133.6,427.149,634,1605,0.4297,0.3021,0.0674,0.7836,5
QCA,352,1262.4,427.4673,598,1786,0.4416,0.2668,0.097,0.8277,5
QCA,362,1552.4,502.072,860,2163,0.7062,0.4447,0.1845,1.281,5
QCA,372,1427.4,558.2265,924,2082,0.6165,0.512,0.1686,1.1924,5
QCA,382,1158.0,415.6603,687,1550,0.3613,0.2534,0.0808,0.6391,5
QCA,392,1167.6,236.8181,831,1479,0.3694,0.1442,0.1997,0.5637,5
QCA,402,1617.0,526.5283,983,2304,0.8664,0.701,0.1933,1.7943,5
QCA,412,1183.4,196.1907,973,1499,0.3922,0.2022,0.173,0.7205,5
QCA,422,1122.8,209.4975,765,1312,0.3458,0.1491,0.122,0.4868,5
QCA,432,1415.2,411.6609,959,1983,0.5753,0.3521,0.2612,1.1204,5
QCA,442,1466.8,586.3657,820,2303,0.6303,0.5369,0.0919,1.4664,5
QCA,452,1852.2,667.2658,829,2583,1.0021,0.6372,0.1141,1.7852,5
QCA,462,1467.4,379.6713,857,1774,0.5879,0.3479,0.1138,0.9446,5
QCA,472,1240.6,437.2806,813,1831,0.4753,0.3635,0.1463,0.9969,5
QCA,482,1571.8,438.1144,1114,2095,0.7188,0.4622,0.2721,1.3445,5
QCA,492,2427.2,412.5308,1732,2711,1.8075,0.6882,0.624,2.3917,5
QCA,502,2110.0,497.2037,1442,2570,1.3684,0.7061,0.5083,1.9321,5
QCA,512,2083.6,853.1593,957,2861,1.4753,1.0352,0.1691,2.4955,5
QCA,522,2281.4,718.7415,1153,2929,1.538,0.8372,0.4006,2.4046,5
QCA,532,2392.6,555.4379,1499,2947,1.611,0.691,0.55,2.3279,5
QCA,542,2396.8,723.8161,1569,3095,1.4304,0.9531,0.4106,2.419,5
QCA,552,2366.4,750.8211,1497,3057,1.4232,0.8675,0.4282,2.1929,5
QCA,562,1716.4,882.2241,950,3123,0.741,0.7922,0.1311,2.0715,5
QCA,572,2525.4,743.5367,1239,3057,1.5176,0.7385,0.3288,2.3653,5
QCA,582,2404.0,434.247,2024,3114,1.4086,0.6576,0.7205,2.1937,5
QCA,592,2719.0,405.4239,2324,3197,2.1531,0.7877,1.3599,3.1786,5
QCA,602,2413.4,1014.1192,1323,3368,1.7948,1.3642,0.4195,3.1927,5
QCA,612,2412.2,760.4411,1508,3447,1.41,0.9612,0.3048,2.8769,5
QCA,622,1887.6,530.3096,1415,2802,0.8903,0.57,0.4345,1.8869,5
QCA,632,2051.6,737.2552,1016,3063,0.9708,0.7802,0.2126,2.2619,5
QCA,642,2514.0,717.3071,1490,3517,1.4503,0.9592,0.2952,2.9598,5
QCA,652,2507.8,789.3122,1489,3267,1.5547,1.0077,0.3205,2.5529,5
QCA,662,2750.2,1082.4148,1230,3859,1.6285,1.2158,0.1739,2.9388,5
QCA,672,2888.4,931.1854,1645,3797,1.8742,1.2692,0.3302,3.1275,5
QCA,682,2404.6,1105.7282,1163,3365,2.0253,1.6673,0.211,3.6697,5
QCA,692,2979.6,657.3228,2236,3897,2.5712,1.102,1.5557,4.1596,5
QCA,702,3183.2,219.3518,2845,3439,2.2067,0.4343,1.566,2.7443,5
QCA,712,1737.6,679.7075,1196,2802,0.6075,0.6405,0.1987,1.6936,5
QCA,722,3038.8,516.0942,2545,3915,1.8129,0.9299,1.1455,3.4549,5
QCA,732,2313.0,1079.7898,1227,4077,1.3951,1.5499,0.2757,4.0604,5
QCA,742,2639.2,1041.1905,1330,3770,1.7216,1.3304,0.2037,3.1863,5
QCA,752,2597.2,1279.8591,1336,4258,1.5307,1.4107,0.2269,3.6139,5
QCA,762,2001.2,766.9522,1238,3295,0.8322,0.8889,0.4066,2.4216,5
QCA,772,2618.0,939.5677,1325,3497,1.7025,1.0237,0.3591,3.0904,5
QCA,782,3348.8,622.1919,2702,4351,3.0753,1.3619,1.7508,5.2453,5
QCA,792,2873.4,1044.484,1400,3934,2.1519,1.4786,0.2454,3.6768,5
QCA,802,2723.4,950.268,1821,3822,1.6655,1.4078,0.5187,3.7202,5
QCA,812,2973.0,1137.0921,1358,3927,2.3863,1.5992,0.3447,4.1273,5
QCA,822,3512.0,810.0738,2342,4590,2.5416,1.2565,1.0689,4.4191,5
QCA,832,3104.8,389.6591,2419,3391,1.9431,0.5954,0.8814,2.2772,5
QCA,842,4035.2,519.395,3215,4549,3.3657,0.794,2.1718,4.0592,5
QCA,852,2883.0,1172.8951,1466,4607,1.8212,1.7086,0.3505,4.7094,5
QCA,862,2214.0,1037.53,1555,4029,1.2912,1.4649,0.3754,3.836,5
QCA,872,3622.4,1218.7921,2014,4848,3.7419,2.6482,0.9533,6.5306,5
