circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.0,1,40.0,42.0,1.05,0.0011000633239746094,0.00026869773864746094,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]","[1, 1, 0]","[0, 0, 2]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.1,2,20.0,101.0,5.05,0.003742218017578125,0.0002110004425048828,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 0, 0]","[0, 0, 2]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.2,2,20.0,101.0,5.05,0.003804922103881836,0.0002181529998779297,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 0, 0]","[0, 0, 2]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.3,2,20.0,101.0,5.05,0.00370025634765625,0.00020503997802734375,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 0, 0]","[0, 0, 2]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.4,2,20.0,101.0,5.05,0.003834962844848633,0.0002410411834716797,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 0, 0]","[0, 0, 2]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.5,2,20.0,101.0,5.05,0.003832101821899414,0.00022983551025390625,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 0, 0]","[0, 0, 2]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.0,2,240.0,261.0,1.0875,2.1341490745544434,0.006365060806274414,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.1,2,240.0,261.0,1.0875,2.167482852935791,0.0064849853515625,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.2,2,240.0,261.0,1.0875,2.157534122467041,0.006458282470703125,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.3,3,180.0,462.0,2.566666666666667,5.086902141571045,0.004797220230102539,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[4, 1, 0]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.4,3,180.0,462.0,2.566666666666667,4.940600156784058,0.004997968673706055,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[4, 1, 0]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.5,3,180.0,462.0,2.566666666666667,5.1052117347717285,0.004976749420166016,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[4, 1, 0]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.0,2,40.0,81.0,2.025,0.14281105995178223,0.0007982254028320312,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.1,2,40.0,81.0,2.025,0.14272427558898926,0.0008151531219482422,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.2,2,40.0,81.0,2.025,0.14949893951416016,0.0008649826049804688,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.3,2,40.0,81.0,2.025,0.15121197700500488,0.0008420944213867188,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.4,2,40.0,81.0,2.025,0.14632391929626465,0.0007691383361816406,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.5,2,40.0,81.0,2.025,0.13738703727722168,0.000762939453125,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.0,1,120.0,122.0,1.0166666666666666,0.009057998657226562,0.001683950424194336,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 1, 0]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.1,2,60.0,361.0,6.016666666666667,0.03392910957336426,0.001522064208984375,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.2,2,60.0,361.0,6.016666666666667,0.03395390510559082,0.0015227794647216797,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.3,2,60.0,361.0,6.016666666666667,0.03329777717590332,0.0014829635620117188,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.4,2,60.0,361.0,6.016666666666667,0.03340792655944824,0.0014548301696777344,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.5,2,60.0,361.0,6.016666666666667,0.03365516662597656,0.0014731884002685547,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.0,1,120.0,122.0,1.0166666666666666,0.008809804916381836,0.0015690326690673828,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 1, 0]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.1,2,60.0,361.0,6.016666666666667,0.03422999382019043,0.0015330314636230469,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.2,2,60.0,361.0,6.016666666666667,0.03478693962097168,0.0015187263488769531,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.3,2,60.0,361.0,6.016666666666667,0.03445029258728027,0.001522064208984375,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.4,2,60.0,361.0,6.016666666666667,0.03444385528564453,0.0015518665313720703,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.5,2,60.0,361.0,6.016666666666667,0.034655094146728516,0.0014967918395996094,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.0,2,60.0,103.0,1.7166666666666666,0.8760221004486084,0.0012531280517578125,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.1,2,60.0,103.0,1.7166666666666666,0.8992986679077148,0.0014300346374511719,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.2,2,60.0,103.0,1.7166666666666666,0.9166216850280762,0.001361846923828125,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.3,3,40.0,124.0,3.1,2.0307679176330566,0.0009629726409912109,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[2, 0, 3]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.4,3,40.0,124.0,3.1,2.1218888759613037,0.0008530616760253906,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[2, 0, 3]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.5,3,40.0,124.0,3.1,2.0564351081848145,0.0008299350738525391,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[2, 0, 3]"
pricingcall_indep_qiskit_5,5,170,165,5,139,3,1.0,2,80.0,262.0,3.275,1.7361559867858887,0.0044171810150146484,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[1, 1, 3]"
pricingcall_indep_qiskit_5,5,170,165,5,139,3,1.1,2,80.0,262.0,3.275,1.8073570728302002,0.004867076873779297,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[1, 1, 3]"
pricingcall_indep_qiskit_5,5,170,165,5,139,3,1.2,2,80.0,262.0,3.275,1.806276798248291,0.004370927810668945,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[1, 1, 3]"
pricingcall_indep_qiskit_5,5,170,165,5,139,3,1.3,3,70.0,401.0,5.728571428571429,4.0349440574646,0.0030126571655273438,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[1, 1, 3]"
