circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.1,2,20.0,101.0,5.05,0.0037422180175781,0.0002110004425048,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 0, 0]","[0, 0, 2]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.2,2,20.0,101.0,5.05,0.0038049221038818,0.0002181529998779,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 0, 0]","[0, 0, 2]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.3,2,20.0,101.0,5.05,0.0037002563476562,0.0002050399780273,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 0, 0]","[0, 0, 2]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.4,2,20.0,101.0,5.05,0.0038349628448486,0.0002410411834716,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 0, 0]","[0, 0, 2]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.5,2,20.0,101.0,5.05,0.0038321018218994,0.0002298355102539,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 0, 0]","[0, 0, 2]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.0,2,240.0,261.0,1.0875,2.134149074554444,0.0063650608062744,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.1,2,240.0,261.0,1.0875,2.167482852935791,0.0064849853515625,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.2,2,240.0,261.0,1.0875,2.157534122467041,0.0064582824707031,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.3,3,180.0,462.0,2.566666666666667,5.086902141571045,0.0047972202301025,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[4, 1, 0]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.4,3,180.0,462.0,2.566666666666667,4.940600156784058,0.004997968673706,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[4, 1, 0]"
twolocalrandom_indep_qiskit_5,5,210,205,5,175,3,1.5,3,180.0,462.0,2.566666666666667,5.1052117347717285,0.004976749420166,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[4, 1, 0]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.0,2,40.0,81.0,2.025,0.1428110599517822,0.000798225402832,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.1,2,40.0,81.0,2.025,0.1427242755889892,0.0008151531219482,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.2,2,40.0,81.0,2.025,0.1494989395141601,0.0008649826049804,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.3,2,40.0,81.0,2.025,0.1512119770050048,0.0008420944213867,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.4,2,40.0,81.0,2.025,0.1463239192962646,0.0007691383361816,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qaoa_indep_qiskit_4,4,68,64,4,56,3,1.5,2,40.0,81.0,2.025,0.1373870372772216,0.000762939453125,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.0,1,120.0,122.0,1.0166666666666666,0.0090579986572265,0.0016839504241943,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 1, 0]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.1,2,60.0,361.0,6.016666666666667,0.0339291095733642,0.0015220642089843,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.2,2,60.0,361.0,6.016666666666667,0.0339539051055908,0.0015227794647216,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.3,2,60.0,361.0,6.016666666666667,0.0332977771759033,0.0014829635620117,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.4,2,60.0,361.0,6.016666666666667,0.0334079265594482,0.0014548301696777,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-v-chain_indep_qiskit_3,3,109,106,3,88,3,1.5,2,60.0,361.0,6.016666666666667,0.0336551666259765,0.0014731884002685,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.0,1,120.0,122.0,1.0166666666666666,0.0088098049163818,0.0015690326690673,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 1, 0]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.1,2,60.0,361.0,6.016666666666667,0.0342299938201904,0.001533031463623,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.2,2,60.0,361.0,6.016666666666667,0.0347869396209716,0.0015187263488769,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.3,2,60.0,361.0,6.016666666666667,0.0344502925872802,0.0015220642089843,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.4,2,60.0,361.0,6.016666666666667,0.0344438552856445,0.001551866531372,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qwalk-noancilla_indep_qiskit_3,3,109,106,3,88,3,1.5,2,60.0,361.0,6.016666666666667,0.0346550941467285,0.0014967918395996,QUBIT-LEVEL,"[1, 2, 0]","[2, 2, 2]","[1, 2, 0]","[2, 0, 1]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.0,2,60.0,103.0,1.7166666666666666,0.8760221004486084,0.0012531280517578,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.1,2,60.0,103.0,1.7166666666666666,0.8992986679077148,0.0014300346374511,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.2,2,60.0,103.0,1.7166666666666666,0.9166216850280762,0.0013618469238281,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 0, 3]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.3,3,40.0,124.0,3.1,2.0307679176330566,0.0009629726409912,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[2, 0, 3]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.4,3,40.0,124.0,3.1,2.121888875961304,0.0008530616760253,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[2, 0, 3]"
qaoa_indep_qiskit_5,5,85,80,5,70,3,1.5,3,40.0,124.0,3.1,2.0564351081848145,0.0008299350738525,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[2, 0, 3]"
pricingcall_indep_qiskit_5,5,170,165,5,139,3,1.0,2,80.0,262.0,3.275,1.736155986785889,0.0044171810150146,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[1, 1, 3]"
pricingcall_indep_qiskit_5,5,170,165,5,139,3,1.1,2,80.0,262.0,3.275,1.8073570728302,0.0048670768737792,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[1, 1, 3]"
pricingcall_indep_qiskit_5,5,170,165,5,139,3,1.2,2,80.0,262.0,3.275,1.806276798248291,0.0043709278106689,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[1, 1, 3]"
pricingcall_indep_qiskit_5,5,170,165,5,139,3,1.3,3,70.0,401.0,5.728571428571429,4.0349440574646,0.0030126571655273,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[1, 1, 3]"
pricingcall_indep_qiskit_5,5,170,165,5,139,3,1.4,3,70.0,401.0,5.728571428571429,4.026610851287842,0.0030720233917236,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[1, 1, 3]"
pricingcall_indep_qiskit_5,5,170,165,5,139,3,1.5,3,70.0,401.0,5.728571428571429,4.029732942581177,0.0030570030212402,QUBIT-LEVEL,"[3, 2, 0]","[3, 3, 3]","[3, 2, 0]","[1, 1, 3]"
twolocalrandom_indep_qiskit_4,4,132,128,4,110,3,1.0,2,120.0,222.0,1.85,0.2668843269348144,0.0024631023406982,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
twolocalrandom_indep_qiskit_4,4,132,128,4,110,3,1.1,2,120.0,222.0,1.85,0.2776598930358886,0.0023629665374755,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
