circuit,overhead,cut_cost,num_qubits,num_nodes,num_hyperedges,k,cap
su2random_indep_qiskit_56,1.1,42,28056,0,0,4,7715
su2random_indep_qiskit_56,1.2,42,28056,0,0,4,8416
su2random_indep_qiskit_56,1.3,42,28056,0,0,4,9118
su2random_indep_qiskit_56,1.5,42,28056,0,0,4,10521
su2random_indep_qiskit_56,2.0,42,28056,0,0,4,14028
qpeinexact_indep_qiskit_4,1.0,3,56,0,0,4,14
qpeinexact_indep_qiskit_4,1.1,3,56,0,0,4,15
qpeinexact_indep_qiskit_4,1.2,3,56,0,0,4,16
qpeinexact_indep_qiskit_4,1.3,3,56,0,0,4,18
qpeinexact_indep_qiskit_4,1.5,3,56,0,0,4,21
qpeinexact_indep_qiskit_4,2.0,3,56,0,0,4,28
qwalk-v-chain_indep_qiskit_31,1.0,83,12345,0,0,4,3086
qwalk-v-chain_indep_qiskit_31,1.1,83,12345,0,0,4,3394
qwalk-v-chain_indep_qiskit_31,1.2,83,12345,0,0,4,3703
qwalk-v-chain_indep_qiskit_31,1.3,83,12345,0,0,4,4012
qwalk-v-chain_indep_qiskit_31,1.5,83,12345,0,0,4,4629
qwalk-v-chain_indep_qiskit_31,2.0,83,12345,0,0,4,6172
realamprandom_indep_qiskit_115,1.0,197,118680,0,0,4,29670
realamprandom_indep_qiskit_115,1.1,197,118680,0,0,4,32637
realamprandom_indep_qiskit_115,1.2,197,118680,0,0,4,35604
realamprandom_indep_qiskit_115,1.3,197,118680,0,0,4,38571
realamprandom_indep_qiskit_115,1.5,197,118680,0,0,4,44505
realamprandom_indep_qiskit_115,2.0,197,118680,0,0,4,59340
random_indep_qiskit_48,1.0,358,19989,0,0,4,4997
random_indep_qiskit_48,1.1,358,19989,0,0,4,5496
random_indep_qiskit_48,1.2,358,19989,0,0,4,5996
random_indep_qiskit_48,1.3,358,19989,0,0,4,6496
random_indep_qiskit_48,1.5,358,19989,0,0,4,7495
random_indep_qiskit_48,2.0,358,19989,0,0,4,9994
qpeinexact_indep_qiskit_125,1.0,215,47370,0,0,4,11842
qpeinexact_indep_qiskit_125,1.1,215,47370,0,0,4,13026
qpeinexact_indep_qiskit_125,1.2,215,47370,0,0,4,14211
qpeinexact_indep_qiskit_125,1.3,215,47370,0,0,4,15395
qpeinexact_indep_qiskit_125,1.5,215,47370,0,0,4,17763
qpeinexact_indep_qiskit_125,2.0,215,47370,0,0,4,23685
ae_indep_qiskit_40,1.0,30,5151,0,0,4,1287
ae_indep_qiskit_40,1.1,30,5151,0,0,4,1416
ae_indep_qiskit_40,1.2,30,5151,0,0,4,1545
ae_indep_qiskit_40,1.3,30,5151,0,0,4,1674
ae_indep_qiskit_40,1.5,30,5151,0,0,4,1931
ae_indep_qiskit_40,2.0,30,5151,0,0,4,2575
