circuit,num_qubits,num_nodes,num_quantum_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts
qwalk-v-chain_indep_qiskit_3,3,109,106,88,3,1.1,2,7.0,15.0,2.142857142857143,0.0016548633575439453,0.0016069412231445312,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
qwalk-v-chain_indep_qiskit_3,3,109,106,88,3,1.2,2,7.0,15.0,2.142857142857143,0.001650094985961914,0.001470804214477539,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
portfoliovqe_indep_qiskit_9,9,702,693,585,3,1.0,3,87.0,57.0,0.6551724137931034,0.5611882209777832,0.060916900634765625,QUBIT-LEVEL,"[3, 3, 3]","[3, 3, 3]"
portfoliovqe_indep_qiskit_9,9,702,693,585,3,1.1,4,77.0,99.0,1.2857142857142858,3.657773017883301,0.051219940185546875,QUBIT-LEVEL,"[4, 4, 1]","[4, 4, 4]"
portfoliovqe_indep_qiskit_9,9,702,693,585,3,1.2,4,77.0,99.0,1.2857142857142858,3.651642084121704,0.04921889305114746,QUBIT-LEVEL,"[4, 4, 1]","[4, 4, 4]"
qnn_indep_qiskit_8,8,818,810,691,3,1.0,3,91.0,87.0,0.9560439560439561,0.6476829051971436,0.07761907577514648,QUBIT-LEVEL,"[3, 3, 2]","[3, 3, 3]"
qnn_indep_qiskit_8,8,818,810,691,3,1.1,3,91.0,87.0,0.9560439560439561,0.653346061706543,0.07896280288696289,QUBIT-LEVEL,"[3, 3, 2]","[3, 3, 3]"
qnn_indep_qiskit_8,8,818,810,691,3,1.2,4,69.0,120.0,1.7391304347826086,1.8663032054901123,0.0597078800201416,QUBIT-LEVEL,"[4, 4, 0]","[4, 4, 4]"
portfoliovqe_indep_qiskit_8,8,552,544,460,3,1.0,3,68.0,56.0,0.8235294117647058,0.43727993965148926,0.03741812705993652,QUBIT-LEVEL,"[3, 3, 2]","[3, 3, 3]"
portfoliovqe_indep_qiskit_8,8,552,544,460,3,1.1,3,68.0,56.0,0.8235294117647058,0.43793773651123047,0.037564754486083984,QUBIT-LEVEL,"[3, 3, 2]","[3, 3, 3]"
