workload_file,model,origin,n_qubits,k_partitions,best_method,best_cost,second_method,second_cost,methods_tested
ae_indep_qiskit_36.qasm,Circuit,MQTBench,36,3,greedy_hdh,456,,,1
ae_indep_qiskit_36.qasm,Circuit,MQTBench,36,4,greedy_hdh,513,,,1
ae_indep_qiskit_37.qasm,Circuit,MQTBench,37,2,greedy_hdh,360,,,1
ae_indep_qiskit_37.qasm,Circuit,MQTBench,37,3,greedy_hdh,479,,,1
ae_indep_qiskit_37.qasm,Circuit,MQTBench,37,4,greedy_hdh,540,,,1
ae_indep_qiskit_38.qasm,Circuit,MQTBench,38,2,greedy_hdh,380,,,1
ae_indep_qiskit_38.qasm,Circuit,MQTBench,38,3,greedy_hdh,507,,,1
ae_indep_qiskit_38.qasm,Circuit,MQTBench,38,4,greedy_hdh,570,,,1
ae_indep_qiskit_39.qasm,Circuit,MQTBench,39,2,greedy_hdh,400,,,1
ae_indep_qiskit_39.qasm,Circuit,MQTBench,39,3,greedy_hdh,533,,,1
ae_indep_qiskit_39.qasm,Circuit,MQTBench,39,4,greedy_hdh,599,,,1
ae_indep_qiskit_4.qasm,Circuit,MQTBench,4,2,greedy_hdh,6,,,1
ae_indep_qiskit_4.qasm,Circuit,MQTBench,4,3,greedy_hdh,6,,,1
ae_indep_qiskit_4.qasm,Circuit,MQTBench,4,4,greedy_hdh,9,,,1
ae_indep_qiskit_40.qasm,Circuit,MQTBench,40,2,greedy_hdh,420,,,1
ae_indep_qiskit_40.qasm,Circuit,MQTBench,40,3,greedy_hdh,558,,,1
ae_indep_qiskit_40.qasm,Circuit,MQTBench,40,4,greedy_hdh,630,,,1
ae_indep_qiskit_41.qasm,Circuit,MQTBench,41,2,greedy_hdh,441,,,1
ae_indep_qiskit_41.qasm,Circuit,MQTBench,41,3,greedy_hdh,587,,,1
ae_indep_qiskit_41.qasm,Circuit,MQTBench,41,4,greedy_hdh,660,,,1
ae_indep_qiskit_42.qasm,Circuit,MQTBench,42,2,greedy_hdh,462,,,1
ae_indep_qiskit_42.qasm,Circuit,MQTBench,42,3,greedy_hdh,616,,,1
ae_indep_qiskit_42.qasm,Circuit,MQTBench,42,4,greedy_hdh,693,,,1
ae_indep_qiskit_43.qasm,Circuit,MQTBench,43,2,greedy_hdh,484,,,1
ae_indep_qiskit_43.qasm,Circuit,MQTBench,43,3,greedy_hdh,645,,,1
ae_indep_qiskit_43.qasm,Circuit,MQTBench,43,4,greedy_hdh,726,,,1
ae_indep_qiskit_44.qasm,Circuit,MQTBench,44,2,greedy_hdh,506,,,1
ae_indep_qiskit_44.qasm,Circuit,MQTBench,44,3,greedy_hdh,675,,,1
ae_indep_qiskit_44.qasm,Circuit,MQTBench,44,4,greedy_hdh,759,,,1
ae_indep_qiskit_45.qasm,Circuit,MQTBench,45,2,greedy_hdh,528,,,1
ae_indep_qiskit_45.qasm,Circuit,MQTBench,45,3,greedy_hdh,705,,,1
ae_indep_qiskit_45.qasm,Circuit,MQTBench,45,4,greedy_hdh,789,,,1
ae_indep_qiskit_46.qasm,Circuit,MQTBench,46,2,greedy_hdh,552,,,1
ae_indep_qiskit_46.qasm,Circuit,MQTBench,46,3,greedy_hdh,736,,,1
ae_indep_qiskit_46.qasm,Circuit,MQTBench,46,4,greedy_hdh,828,,,1
ae_indep_qiskit_47.qasm,Circuit,MQTBench,47,2,greedy_hdh,575,,,1
ae_indep_qiskit_47.qasm,Circuit,MQTBench,47,3,greedy_hdh,767,,,1
ae_indep_qiskit_47.qasm,Circuit,MQTBench,47,4,greedy_hdh,863,,,1
ae_indep_qiskit_48.qasm,Circuit,MQTBench,48,2,greedy_hdh,600,,,1
ae_indep_qiskit_48.qasm,Circuit,MQTBench,48,3,greedy_hdh,800,,,1
ae_indep_qiskit_48.qasm,Circuit,MQTBench,48,4,greedy_hdh,900,,,1
ae_indep_qiskit_49.qasm,Circuit,MQTBench,49,2,greedy_hdh,625,,,1
ae_indep_qiskit_49.qasm,Circuit,MQTBench,49,3,greedy_hdh,831,,,1
ae_indep_qiskit_49.qasm,Circuit,MQTBench,49,4,greedy_hdh,936,,,1
ae_indep_qiskit_5.qasm,Circuit,MQTBench,5,2,greedy_hdh,8,,,1
ae_indep_qiskit_5.qasm,Circuit,MQTBench,5,3,greedy_hdh,12,,,1
ae_indep_qiskit_5.qasm,Circuit,MQTBench,5,4,greedy_hdh,12,,,1
ae_indep_qiskit_50.qasm,Circuit,MQTBench,50,2,greedy_hdh,650,,,1
ae_indep_qiskit_50.qasm,Circuit,MQTBench,50,3,greedy_hdh,867,,,1
ae_indep_qiskit_50.qasm,Circuit,MQTBench,50,4,greedy_hdh,973,,,1
ae_indep_qiskit_51.qasm,Circuit,MQTBench,51,2,greedy_hdh,676,,,1
ae_indep_qiskit_51.qasm,Circuit,MQTBench,51,3,greedy_hdh,901,,,1
ae_indep_qiskit_51.qasm,Circuit,MQTBench,51,4,greedy_hdh,1013,,,1
ae_indep_qiskit_52.qasm,Circuit,MQTBench,52,2,greedy_hdh,702,,,1
ae_indep_qiskit_52.qasm,Circuit,MQTBench,52,3,greedy_hdh,936,,,1
ae_indep_qiskit_52.qasm,Circuit,MQTBench,52,4,greedy_hdh,1053,,,1
ae_indep_qiskit_53.qasm,Circuit,MQTBench,53,2,greedy_hdh,729,,,1
ae_indep_qiskit_53.qasm,Circuit,MQTBench,53,3,greedy_hdh,972,,,1
ae_indep_qiskit_53.qasm,Circuit,MQTBench,53,4,greedy_hdh,1092,,,1
ae_indep_qiskit_54.qasm,Circuit,MQTBench,54,2,greedy_hdh,756,,,1
ae_indep_qiskit_54.qasm,Circuit,MQTBench,54,3,greedy_hdh,1008,,,1
ae_indep_qiskit_54.qasm,Circuit,MQTBench,54,4,greedy_hdh,1134,,,1
ae_indep_qiskit_55.qasm,Circuit,MQTBench,55,2,greedy_hdh,783,,,1
ae_indep_qiskit_55.qasm,Circuit,MQTBench,55,3,greedy_hdh,1043,,,1
ae_indep_qiskit_55.qasm,Circuit,MQTBench,55,4,greedy_hdh,1176,,,1
ae_indep_qiskit_56.qasm,Circuit,MQTBench,56,2,greedy_hdh,812,,,1
ae_indep_qiskit_56.qasm,Circuit,MQTBench,56,3,greedy_hdh,1082,,,1
ae_indep_qiskit_56.qasm,Circuit,MQTBench,56,4,greedy_hdh,1218,,,1
ae_indep_qiskit_57.qasm,Circuit,MQTBench,57,2,greedy_hdh,840,,,1
ae_indep_qiskit_57.qasm,Circuit,MQTBench,57,3,greedy_hdh,1121,,,1
ae_indep_qiskit_57.qasm,Circuit,MQTBench,57,4,greedy_hdh,1260,,,1
ae_indep_qiskit_58.qasm,Circuit,MQTBench,58,2,greedy_hdh,870,,,1
ae_indep_qiskit_58.qasm,Circuit,MQTBench,58,3,greedy_hdh,1160,,,1
ae_indep_qiskit_58.qasm,Circuit,MQTBench,58,4,greedy_hdh,1305,,,1
ae_indep_qiskit_59.qasm,Circuit,MQTBench,59,2,greedy_hdh,900,,,1
ae_indep_qiskit_59.qasm,Circuit,MQTBench,59,3,greedy_hdh,1200,,,1
ae_indep_qiskit_59.qasm,Circuit,MQTBench,59,4,greedy_hdh,1349,,,1
ae_indep_qiskit_6.qasm,Circuit,MQTBench,6,2,greedy_hdh,12,,,1
ae_indep_qiskit_6.qasm,Circuit,MQTBench,6,3,greedy_hdh,16,,,1
ae_indep_qiskit_6.qasm,Circuit,MQTBench,6,4,greedy_hdh,16,,,1
ae_indep_qiskit_60.qasm,Circuit,MQTBench,60,2,greedy_hdh,930,,,1
ae_indep_qiskit_60.qasm,Circuit,MQTBench,60,3,greedy_hdh,1240,,,1
ae_indep_qiskit_60.qasm,Circuit,MQTBench,60,4,greedy_hdh,1395,,,1
ae_indep_qiskit_61.qasm,Circuit,MQTBench,61,2,greedy_hdh,961,,,1
ae_indep_qiskit_61.qasm,Circuit,MQTBench,61,3,greedy_hdh,1281,,,1
ae_indep_qiskit_61.qasm,Circuit,MQTBench,61,4,greedy_hdh,1440,,,1
ae_indep_qiskit_62.qasm,Circuit,MQTBench,62,2,greedy_hdh,992,,,1
ae_indep_qiskit_62.qasm,Circuit,MQTBench,62,3,greedy_hdh,1323,,,1
ae_indep_qiskit_62.qasm,Circuit,MQTBench,62,4,greedy_hdh,1488,,,1
ae_indep_qiskit_63.qasm,Circuit,MQTBench,63,2,greedy_hdh,1024,,,1
ae_indep_qiskit_63.qasm,Circuit,MQTBench,63,3,greedy_hdh,1365,,,1
ae_indep_qiskit_63.qasm,Circuit,MQTBench,63,4,greedy_hdh,1535,,,1
ae_indep_qiskit_64.qasm,Circuit,MQTBench,64,2,greedy_hdh,1056,,,1
ae_indep_qiskit_64.qasm,Circuit,MQTBench,64,3,greedy_hdh,1408,,,1
ae_indep_qiskit_64.qasm,Circuit,MQTBench,64,4,greedy_hdh,1584,,,1
ae_indep_qiskit_65.qasm,Circuit,MQTBench,65,2,greedy_hdh,1089,,,1
ae_indep_qiskit_65.qasm,Circuit,MQTBench,65,3,greedy_hdh,1452,,,1
ae_indep_qiskit_65.qasm,Circuit,MQTBench,65,4,greedy_hdh,1632,,,1
ae_indep_qiskit_66.qasm,Circuit,MQTBench,66,2,greedy_hdh,1122,,,1
ae_indep_qiskit_66.qasm,Circuit,MQTBench,66,3,greedy_hdh,1496,,,1
ae_indep_qiskit_66.qasm,Circuit,MQTBench,66,4,greedy_hdh,1683,,,1
ae_indep_qiskit_67.qasm,Circuit,MQTBench,67,2,greedy_hdh,1155,,,1
ae_indep_qiskit_67.qasm,Circuit,MQTBench,67,3,greedy_hdh,1539,,,1
ae_indep_qiskit_67.qasm,Circuit,MQTBench,67,4,greedy_hdh,1733,,,1
ae_indep_qiskit_68.qasm,Circuit,MQTBench,68,2,greedy_hdh,1190,,,1
ae_indep_qiskit_68.qasm,Circuit,MQTBench,68,3,greedy_hdh,1586,,,1
ae_indep_qiskit_68.qasm,Circuit,MQTBench,68,4,greedy_hdh,1785,,,1
ae_indep_qiskit_69.qasm,Circuit,MQTBench,69,2,greedy_hdh,1225,,,1
ae_indep_qiskit_69.qasm,Circuit,MQTBench,69,3,greedy_hdh,1633,,,1
ae_indep_qiskit_69.qasm,Circuit,MQTBench,69,4,greedy_hdh,1836,,,1
ae_indep_qiskit_7.qasm,Circuit,MQTBench,7,2,greedy_hdh,16,,,1
ae_indep_qiskit_7.qasm,Circuit,MQTBench,7,3,greedy_hdh,21,,,1
ae_indep_qiskit_7.qasm,Circuit,MQTBench,7,4,greedy_hdh,24,,,1
ae_indep_qiskit_70.qasm,Circuit,MQTBench,70,2,greedy_hdh,1260,,,1
ae_indep_qiskit_70.qasm,Circuit,MQTBench,70,3,greedy_hdh,1680,,,1
ae_indep_qiskit_70.qasm,Circuit,MQTBench,70,4,greedy_hdh,1890,,,1
