workload_file,model,origin,n_qubits,best_method,best_cost,win_margin,methods_tested
ghz_indep_qiskit_13.qasm,Circuit,MQTBench,13,greedy_hdh,2,0,1
ghz_indep_qiskit_130.qasm,Circuit,MQTBench,130,greedy_hdh,4,0,1
ghz_indep_qiskit_14.qasm,Circuit,MQTBench,14,greedy_hdh,2,0,1
ghz_indep_qiskit_15.qasm,Circuit,MQTBench,15,greedy_hdh,3,0,1
ghz_indep_qiskit_16.qasm,Circuit,MQTBench,16,greedy_hdh,2,0,1
ghz_indep_qiskit_17.qasm,Circuit,MQTBench,17,greedy_hdh,2,0,1
ghz_indep_qiskit_18.qasm,Circuit,MQTBench,18,greedy_hdh,2,0,1
ghz_indep_qiskit_19.qasm,Circuit,MQTBench,19,greedy_hdh,3,0,1
ghz_indep_qiskit_2.qasm,Circuit,MQTBench,2,greedy_hdh,1,0,1
ghz_indep_qiskit_20.qasm,Circuit,MQTBench,20,greedy_hdh,3,0,1
ghz_indep_qiskit_21.qasm,Circuit,MQTBench,21,greedy_hdh,3,0,1
ghz_indep_qiskit_22.qasm,Circuit,MQTBench,22,greedy_hdh,3,0,1
ghz_indep_qiskit_23.qasm,Circuit,MQTBench,23,greedy_hdh,3,0,1
ghz_indep_qiskit_24.qasm,Circuit,MQTBench,24,greedy_hdh,3,0,1
ghz_indep_qiskit_25.qasm,Circuit,MQTBench,25,greedy_hdh,3,0,1
ghz_indep_qiskit_26.qasm,Circuit,MQTBench,26,greedy_hdh,3,0,1
ghz_indep_qiskit_27.qasm,Circuit,MQTBench,27,greedy_hdh,3,0,1
ghz_indep_qiskit_28.qasm,Circuit,MQTBench,28,greedy_hdh,3,0,1
ghz_indep_qiskit_29.qasm,Circuit,MQTBench,29,greedy_hdh,3,0,1
ghz_indep_qiskit_3.qasm,Circuit,MQTBench,3,greedy_hdh,1,0,1
